video,label,category,duration_sec,l_elbow_mean,l_elbow_std,l_elbow_min,r_elbow_mean,r_elbow_std,r_elbow_min,l_shoulder_mean,r_shoulder_mean,head_angle_mean,hip_angle_mean,body_roll_mean,hip_roll_mean,elbow_symmetry_mean,shoulder_symmetry_mean,kick_frequency,kick_ratio,entry_angle_mean,streamline_width_mean
Backstroke - slowmotion.mp4,backstroke,competition_backstroke,12.833,153.98,43.22,2.13,158.42,28.16,22.23,77.39,90.25,63.59,165.61,0.0538,0.0311,25.05,39.99,1.091,0.1867,0.1387,0.0869
Backstroke start in super slow motion. Backcrawl olympic start.mp4,backstroke,competition_backstroke,49.716,125.29,38.9,4.48,120.13,43.44,4.04,77.93,84.6,38.84,127.55,0.0146,0.0098,24.66,15.42,0.201,0.0585,0.1147,0.0205
Backstroke swimming technique ｜ Rotation ｜ Swim faster.mp4,backstroke,competition_backstroke,112.333,122.05,48.68,3.02,122.33,45.59,1.46,79.72,81.43,70.32,132.52,0.104,0.0631,39.42,39.69,0.872,0.1617,0.1507,0.1177
Fix Your Backstroke (You're Swimming it WRONG).mp4,backstroke,competition_backstroke,244.833,126.57,51.15,0.65,129.23,46.02,1.98,53.82,53.41,66.47,137.7,0.0572,0.0348,33.78,28.35,0.69,0.1705,0.1218,0.1005
How to do a Backstroke Start ｜ Olympic Champion Stephanie Rice.mp4,backstroke,competition_backstroke,54.0,135.11,42.32,3.86,134.05,36.39,9.42,84.96,90.8,35.39,122.3,0.0503,0.0337,35.37,28.67,0.704,0.2123,0.1587,0.0583
How to master Backstroke Swimming ｜ Learn from an Olympic Medallist ｜ Olympians’ Tips.mp4,backstroke,competition_backstroke,171.2,112.3,57.28,0.43,112.27,55.78,0.92,40.54,49.51,103.18,139.99,0.0281,0.0165,38.59,18.71,0.532,0.1685,0.2234,0.1512
How to Swim Backstroke ｜ Expert tips from Olympic Champion Stephanie Rice..mp4,backstroke,competition_backstroke,382.8,126.22,50.46,1.06,118.67,51.48,2.41,65.26,72.81,49.08,137.24,0.0523,0.0328,43.7,41.99,0.669,0.1963,0.1047,0.0605
Mens 200m Backstroke Final HD.mp4,backstroke,competition_backstroke,110.2,152.47,31.26,5.88,127.83,49.59,1.44,44.5,37.36,66.0,121.26,0.0409,0.0225,40.47,18.22,0.309,0.1611,0.1625,0.145
Missy Franklin Slow Motion Start - W 200 Backstroke - ARENA Grand Prix Series at Santa Clara.mp4,backstroke,competition_backstroke,12.667,139.05,51.87,24.38,115.14,43.46,44.27,59.47,63.25,86.35,155.17,0.007,0.0083,62.79,15.02,0.079,0.1429,0.1108,0.0351
New World Record ｜ Men's 100m Backstroke ｜ 19th FINA World Championships.mp4,backstroke,competition_backstroke,56.2,91.49,60.51,3.27,99.25,67.12,0.77,52.17,51.38,74.63,144.31,0.0262,0.0139,39.82,20.99,0.231,0.1757,0.3244,0.0923
