video_id,category,purpose_tag,stroke_label,duration_sec,kick_frequency,kick_ratio,stroke_cycle_hz,detection_rate,l_elbow_angle_mean,l_elbow_angle_std,l_elbow_angle_min,r_elbow_angle_mean,r_elbow_angle_std,r_elbow_angle_min,l_shoulder_angle_mean,l_shoulder_angle_std,l_shoulder_angle_min,r_shoulder_angle_mean,r_shoulder_angle_std,r_shoulder_angle_min,head_angle_mean,head_angle_std,head_angle_min,head_v_angle_mean,head_v_angle_std,head_v_angle_min,hip_angle_mean,hip_angle_std,hip_angle_min,body_roll_mean,body_roll_std,body_roll_min,body_roll_deg_mean,body_roll_deg_std,body_roll_deg_min,hip_roll_mean,hip_roll_std,hip_roll_min,elbow_symmetry_mean,elbow_symmetry_std,elbow_symmetry_min,shoulder_symmetry_mean,shoulder_symmetry_std,shoulder_symmetry_min,entry_angle_mean,entry_angle_std,entry_angle_min,streamline_width_mean,streamline_width_std,streamline_width_min,shoulder_width_mean,shoulder_width_std,shoulder_width_min,norm_l_wrist_x_mean,norm_l_wrist_x_std,norm_l_wrist_x_min,norm_r_wrist_x_mean,norm_r_wrist_x_std,norm_r_wrist_x_min,norm_l_wrist_y_mean,norm_l_wrist_y_std,norm_l_wrist_y_min,norm_r_wrist_y_mean,norm_r_wrist_y_std,norm_r_wrist_y_min,l_ankle_roll_std5_mean,l_ankle_roll_std5_std,l_ankle_roll_std5_min,r_ankle_roll_std5_mean,r_ankle_roll_std5_std,r_ankle_roll_std5_min
Backstroke - slowmotion.mp4,competition_backstroke,competition,backstroke,12.83,1.247,0.2027,0.391,0.892,161.0812,34.1612,2.12,160.7743,17.7343,105.03,77.8586,53.1391,1.05,88.8903,55.705,0.87,62.3468,60.8118,2.53,46.323,20.1402,1.79,161.8646,20.331,33.0,0.0549,0.0409,0.0019,68.9922,23.522,9.14,0.0332,0.02,0.0004,20.9345,27.9062,0.5,41.7645,40.6711,2.26,0.1326,0.0965,0.0002,0.0793,0.0799,0.0001,0.0589,0.0397,0.0026,20.1715,25.6581,2.0123,19.4712,25.9365,1.9193,11.9322,12.298,1.2051,12.21,10.2532,3.7073,0.0373,0.0378,0.0,0.0389,0.0318,0.0
Backstroke start in super slow motion. Backcrawl olympic start.mp4,competition_backstroke,competition,backstroke,49.72,0.382,0.0854,0.178,0.414,127.9204,38.2591,10.1,123.7894,43.5632,4.21,77.7638,59.091,0.93,86.2707,61.73,2.63,39.7118,51.0237,2.56,31.2924,27.3359,0.09,128.3783,35.2762,15.43,0.0137,0.0104,0.0,41.0884,26.7108,0.14,0.0097,0.0063,0.0,24.3229,26.1586,0.02,15.0812,15.1314,0.04,0.1164,0.0746,0.0034,0.0208,0.0253,0.0,0.0244,0.0155,0.0012,29.5094,28.8569,5.8844,29.2919,29.142,6.3088,24.4706,19.5185,0.8887,24.3029,19.8876,0.9165,0.0183,0.0211,0.0,0.017,0.0206,0.0
Backstroke swimming technique ｜ Rotation ｜ Swim faster.mp4,competition_backstroke,competition,backstroke,112.33,0.899,0.1401,0.506,0.895,121.7809,50.9867,1.96,122.1268,47.2379,0.69,79.843,58.0434,0.57,81.4885,59.1561,0.65,69.18,54.4979,1.55,34.8324,21.9318,0.37,133.5939,50.1525,0.26,0.1043,0.0802,0.0002,59.7463,27.5424,0.06,0.0628,0.0476,0.0004,40.9644,36.9075,0.1,41.2203,44.0252,0.07,0.1502,0.1108,0.0003,0.1197,0.1107,0.0,0.1288,0.0751,0.0027,8.6619,13.5472,0.9581,8.6979,13.5691,1.2293,8.1287,14.2748,0.5298,7.6974,14.1678,-0.7849,0.047,0.0414,0.0,0.0501,0.0454,0.0
Fix Your Backstroke (You're Swimming it WRONG).mp4,competition_backstroke,competition,backstroke,244.83,0.817,0.1665,0.43,0.626,125.4976,50.0128,0.62,129.8549,45.7404,2.62,54.5859,47.1318,0.36,52.7704,48.566,0.42,66.4652,52.6357,1.6,30.6598,24.797,0.01,138.0307,50.2284,1.05,0.0597,0.0632,0.0,57.1118,28.5559,0.0,0.0358,0.0354,0.0001,33.8214,39.6841,0.01,28.1413,34.6108,0.01,0.1235,0.1236,0.0,0.1014,0.1398,0.0,0.0935,0.0906,0.0002,29.1155,179.0387,0.359,29.0872,181.0802,0.3182,16.9045,75.012,-0.0662,16.5906,78.7628,0.0102,0.0683,0.0776,0.0,0.0649,0.0757,0.0
How to do a Backstroke Start ｜ Olympic Champion Stephanie Rice.mp4,competition_backstroke,competition,backstroke,57.8,0.83,0.1401,0.385,0.695,132.8389,44.9743,3.76,128.7573,41.638,2.59,89.8316,48.3058,2.4,90.809,49.741,0.69,39.2534,39.9674,1.73,37.5997,20.9993,1.07,112.9703,47.3528,28.25,0.051,0.0378,0.0001,67.1073,21.2573,0.13,0.0347,0.0222,0.0002,32.4918,30.3928,0.11,26.5332,29.6255,0.06,0.1675,0.1425,0.0005,0.0547,0.0626,0.0014,0.0562,0.0364,0.001,16.9615,34.2066,0.6763,17.0075,36.627,-0.2999,18.4774,46.4187,0.9692,18.7386,48.0131,-3.3522,0.086,0.0586,0.0,0.0862,0.0563,0.0
How to master Backstroke Swimming ｜ Learn from an Olympic Medallist ｜ Olympians’ Tips.mp4,competition_backstroke,competition,backstroke,171.2,0.584,0.1164,0.344,0.642,113.5536,56.2043,0.78,113.2028,56.0959,0.39,44.0707,54.062,0.42,51.6585,53.2514,0.7,102.1496,53.7989,2.19,14.7793,20.8801,0.02,136.8029,60.2996,0.32,0.0289,0.032,0.0,22.0541,25.9095,0.02,0.0167,0.0171,0.0,35.898,42.96,0.01,19.8536,26.8575,0.1,0.24,0.2519,0.0001,0.1534,0.1557,0.0,0.1567,0.1152,0.001,10.4342,21.0822,0.3398,9.8469,21.0563,-0.7123,10.6821,19.1452,1.0872,10.608,18.9798,-0.0701,0.1672,0.2459,0.0,0.1675,0.2491,0.0
How to Swim Backstroke ｜ Expert tips from Olympic Champion Stephanie Rice..mp4,competition_backstroke,competition,backstroke,382.8,0.718,0.1586,0.406,0.653,126.829,50.2247,1.03,116.9758,53.0836,1.91,66.9849,54.951,0.45,74.3799,58.3497,0.5,46.9805,50.8405,1.34,33.2816,22.7519,0.08,135.1987,50.4836,0.58,0.0501,0.0526,0.0,59.8139,22.1427,0.11,0.0312,0.0285,0.0,43.3851,40.8909,0.0,40.7863,45.0804,0.02,0.1049,0.0992,0.0001,0.0588,0.0615,0.0,0.0584,0.0547,0.0007,25.9806,49.7726,0.8185,25.4083,49.0336,0.5133,22.9863,46.1527,0.031,22.7378,45.9106,-0.0019,0.0764,0.0541,0.0,0.0748,0.0524,0.0
Mens 200m Backstroke Final HD.mp4,competition_backstroke,competition,backstroke,110.2,0.354,0.1321,0.355,0.381,144.9683,38.5422,5.88,128.1414,48.8049,3.33,45.9319,41.9509,1.14,37.5027,41.0724,0.36,62.5854,52.8544,2.8,28.2487,23.3851,0.01,121.164,57.207,3.59,0.0456,0.0402,0.001,36.3283,28.1573,0.36,0.0266,0.0272,0.0,37.413,38.2632,0.55,22.0192,24.687,0.01,0.1676,0.1259,0.0036,0.14,0.1327,0.0007,0.1062,0.0692,0.003,8.8508,17.1103,0.4308,8.6168,17.5469,0.6573,11.9789,22.4242,0.5618,12.2276,22.3121,0.4888,0.1124,0.1081,0.0,0.1142,0.1078,0.0
Missy Franklin Slow Motion Start - W 200 Backstroke - ARENA Grand Prix Series at Santa Clara.mp4,competition_backstroke,competition,backstroke,11.67,0.0,0.0,0.0,0.103,124.3725,67.4736,26.75,158.875,13.2583,142.47,95.5275,77.1488,17.67,113.1075,77.3716,1.26,80.6475,36.1624,31.31,10.18,4.0755,5.57,143.24,67.0118,42.81,0.005,0.0032,0.0004,6.4575,3.3366,1.72,0.0055,0.0025,0.002,51.5575,53.6857,14.15,32.3275,33.7902,13.09,0.1379,0.09,0.0499,0.0233,0.009,0.0132,0.0384,0.0176,0.0122,28.1113,22.1916,15.9513,27.9518,23.0109,15.5154,24.8365,25.6278,9.8738,24.9625,26.3535,9.8249,0.0203,0.0135,0.0,0.0201,0.0134,0.0
New World Record ｜ Men's 100m Backstroke ｜ 19th FINA World Championships.mp4,competition_backstroke,competition,backstroke,56.2,0.231,0.0933,0.263,0.221,99.7269,59.2535,6.0,107.0209,63.5145,0.86,68.9139,63.3682,1.78,69.9027,58.9659,2.1,82.9464,41.5842,5.98,19.9539,23.6471,0.39,150.2579,52.8814,0.41,0.0236,0.0201,0.002,24.9859,26.7305,0.55,0.0115,0.0097,0.0,39.0101,38.0171,0.19,19.1521,22.3893,0.48,0.3804,0.3534,0.0032,0.0996,0.1123,0.0001,0.1227,0.1178,0.0098,7.4685,10.8798,-0.5209,7.3292,11.0089,-0.2771,12.0294,12.4551,-0.2495,11.86,12.3878,0.857,0.2459,0.3148,0.0,0.2508,0.3278,0.0
Nolan Wins 25 YD Backstroke Slow Motion.mp4,competition_backstroke,competition,backstroke,52.0,1.115,0.1552,0.475,0.885,104.2305,65.3824,0.31,114.7945,58.817,0.71,18.2065,22.1654,0.78,17.7703,20.3944,0.36,77.9688,53.2969,1.75,21.1828,18.8148,0.23,153.9731,43.3246,3.26,0.0569,0.0649,0.0006,28.2993,23.8197,0.54,0.0353,0.0364,0.0001,28.6603,35.4873,0.01,9.9968,12.3214,0.02,0.1959,0.1727,0.0001,0.1142,0.0956,0.0019,0.1518,0.0855,0.0077,11.0943,17.7877,-0.253,11.4029,17.7057,-0.0327,9.6455,13.1189,1.2818,9.4229,13.1756,0.3302,0.0825,0.0791,0.0,0.0949,0.094,0.0
Rio 2016 4 x 100 Freestyle Relay - Underwater Camera.mp4,competition_backstroke,competition,backstroke,222.56,0.782,0.1701,0.406,0.59,118.8646,54.7555,1.69,116.7448,55.0336,1.24,70.0721,57.6802,0.8,71.741,57.0292,0.62,66.8852,51.3887,2.0,30.8195,25.466,0.03,161.5202,33.5858,1.39,0.034,0.0302,0.0001,45.7599,24.3713,0.08,0.0182,0.0156,0.0001,39.0068,38.8158,0.02,28.6167,31.7999,0.01,0.1577,0.1536,0.0002,0.0604,0.0929,0.0001,0.0565,0.0566,0.0017,19.8013,29.9589,1.2103,19.7674,30.3721,0.3591,16.0675,21.7195,0.4671,16.0878,21.7761,0.3402,0.0708,0.079,0.0,0.0712,0.0822,0.0
Rio Replay： Men's 200m Backstroke Final.mp4,competition_backstroke,competition,backstroke,336.6,0.463,0.1281,0.345,0.519,116.6379,57.9125,0.4,120.612,56.5689,2.67,42.5792,48.8311,0.25,46.1004,52.4121,0.45,84.3862,48.6579,1.76,20.4964,20.3825,0.01,143.5105,54.6583,0.1,0.0344,0.0406,0.0,23.046,25.618,0.0,0.0231,0.0279,0.0,35.1704,42.3233,0.05,17.6503,28.4244,0.02,0.2672,0.2755,0.0,0.1728,0.2084,0.0,0.1454,0.1036,0.0013,13.373,36.6582,-4.2241,12.8765,37.1468,-1.1384,13.4593,32.7274,-1.197,13.9892,33.738,-0.6574,0.1197,0.1787,0.0,0.1312,0.1926,0.0
Ryan Murphy 100 back High speed camera   slo motion 1080i youtube 2.mp4,competition_backstroke,competition,backstroke,190.69,0.351,0.0887,0.394,0.511,132.401,42.5331,1.17,150.8705,39.8591,3.17,26.5353,37.448,0.57,23.0416,36.2794,0.64,124.8531,41.8964,4.22,14.2737,19.8609,0.06,154.6851,42.7254,2.68,0.0147,0.0239,0.0001,20.202,26.3108,0.08,0.0087,0.0138,0.0,27.6909,28.2671,0.08,9.5735,14.1666,0.02,0.0542,0.0527,0.0002,0.0464,0.0326,0.0001,0.054,0.0214,0.0014,11.0272,25.0378,0.8858,11.5989,24.9858,2.0151,21.7416,40.8035,0.8035,22.0417,40.7547,1.5107,0.0286,0.0531,0.0,0.0297,0.0549,0.0
